,,,,Crime,,,,,Weather,,,,,Healthcare,,,,,,,,,Property,,,,,,,,,,,,
,City,Population,Survey Rating,Total Crime,Crime Score,Burglary,Robbery,Violence and Sexual Offences,Flooding,,Average Annual Days of Thunder , ,Weather Score,% of A&E Attendances With a Wait Less than 4 Hours, ,Doctors Per Person,,Median Ambulance Response Time (Minutes), ,% of Life-Threatening Ambulance Response Times under 8 Minutes, ,Healthcare Score,Average House Price,Property Age,Average Property Age (Years), ,Ground Movement,,Property Score,Safety Score,,,,,
WC1A,London,"8,787,892",6.56,1796,5.68,178,71,243,0%,10.00,15,1.00,5.50,87.1%,7.08,0.75,4.71,4.88,4.41,85%,7.57,5.94," £	5,431,250.00 ",1962,56,7.46,0%,10.00,9.15,6.57,,,,,
B1,Birmingham,"1,124,569",6.67,982,7.73,23,41,197,1%,9.08,9,5.15,7.12,86.1%,6.64,0.75,4.71,1.43,10.00,93%,9.51,7.71," £	182,780.00 ",1990,28,9.61,0%,9.52,9.55,8.03,,,,,
LS1,Leeds,"781,743",7.18,175,9.76,29,5,288,2%,7.11,9,5.15,6.13,84.5%,5.90,0.75,4.71,3.57,6.53,92%,9.27,6.60," £	200,600.00 ",1953,65,6.70,4%,5.94,6.19,7.17,,,,,
G1,Glasgow,"599,650",7.49,3659,1.00,,,,0%,10.00,2,10.00,10.00,88.3%,7.62,0.95,10.00,5.47,3.45,87%,8.05,7.28," £	204,963.00 ",1956,62,6.98,2%,8.27,7.84,6.53,,,,,
S1,Sheffield,"575,424",7.35,1140,7.33,70,29,180,0%,9.57,11,3.77,6.67,84.0%,5.65,0.75,4.71,4.77,4.58,84%,7.32,5.57," £	98,158.00 ",1972,46,8.23,0%,10.00,9.41,7.25,,,,,
M1,Manchester,"541,263",7.17,764,8.28,22,26,213,0%,9.77,11,3.77,6.77,82.3%,4.87,0.75,4.71,4.30,5.35,86%,7.81,5.68," £	229,743.00 ",1954,64,6.81,0%,9.68,8.72,7.36,,,,,
BD1,Bradford,"534,279",,564,8.78,21,21,120,0%,10.00,9,5.15,7.58,84.5%,5.90,0.75,4.71,5.87,2.80,82%,6.84,5.06," £	69,995.00 ",1946,72,6.16,0%,10.00,8.72,7.54,,,,,
L1,Liverpool,"484,578",7.18,1660,6.03,136,15,408,0%,10.00,7,6.54,8.27,82.5%,4.96,0.75,4.71,4.25,5.43,91%,9.03,6.03," £	123,199.00 ",1978,40,8.70,0%,10.00,9.57,7.47,,,,,
EH1,Edinburgh,"464,990",7.45,2463,4.01,,,,1%,8.62,5,7.92,8.27,82.3%,4.88,0.95,10.00,4.00,5.83,90%,8.78,7.37," £	427,581.00 ",1880,138,1.00,2%,7.42,5.28,6.23,,,,,
BS1,"Bristol, City of","454,213",7.24,292,9.47,10,2,81,0%,9.28,9,5.15,7.22,82.7%,5.07,0.75,4.71,3.98,5.86,92%,9.27,6.23," £	328,331.00 ",1972,46,8.19,0%,9.80,9.26,8.04,,,,,
CF11,Cardiff,"361,468",6.95,798,8.19,10,5,151,3%,5.56,9,5.15,5.36,75.1%,1.59,0.61,1.00,5.75,2.99,68%,3.43,2.26," £	200,419.00 ",1940,78,5.73,1%,8.67,7.69,5.87,,,,,
CV1,Coventry,"352,911",7.02,489,8.97,33,34,92,0%,9.87,11,3.77,6.82,78.9%,3.33,0.75,4.71,4.15,5.59,86%,7.81,5.36," £	160,611.00 ",1951,67,6.60,0%,9.73,8.69,7.46,,,,,
LE1,Leicester,"348,343",7.35,415,9.16,15,9,79,0%,9.83,11,3.77,6.80,78.7%,3.26,0.75,4.71,2.00,9.08,95%,10.00,6.76," £	117,833.00 ",1963,55,7.55,1%,8.82,8.40,7.78,,,,,
BT1,Belfast,"339,579",7.95,1343,6.82,74,9,226,0%,10.00,2,10.00,10.00,,,0.64,1.79,4.82,4.50,86%,7.81,4.70," £	121,701.00 ",1995,23,10.00,0%,10.00,10.00,7.88,,,,,
WF1,Wakefield,"336,834",,1121,7.38,91,9,375,1%,8.29,9,5.15,6.72,84.5%,5.89,0.75,4.71,3.92,5.96,95%,10.00,6.64," £	186,280.00 ",1962,56,7.41,2%,7.80,7.67,7.10,,,,,
NG1,Nottingham,"325,282",,1003,7.68,21,15,190,1%,8.90,11,3.77,6.33,80.7%,4.17,0.75,4.71,4.43,5.14,85%,7.57,5.40," £	150,265.00 ",1964,54,7.57,0%,9.69,8.98,7.10,,,,,
NE1,Newcastle upon Tyne,"296,478",7.37,1379,6.73,18,10,255,0%,9.32,7,6.54,7.93,90.3%,8.53,0.8,6.03,4.30,5.35,92%,9.27,7.29," £	185,563.00 ",1966,52,7.73,0%,10.00,9.24,7.80,,,,,
BN1,Brighton and Hove,"289,229",7.32,132,9.87,6,1,19,0%,9.90,15,1.00,5.45,89.3%,8.10,0.75,4.71,4.88,4.41,84%,7.32,6.13," £	394,735.00 ",1929,89,4.87,0%,9.77,8.13,7.40,,,,,
SR1,Sunderland,"277,962",,670,8.52,29,1,164,0%,10.00,7,6.54,8.27,90.3%,8.53,0.8,6.03,6.45,1.86,78%,5.86,5.57," £	63,330.00 ",1957,61,7.01,0%,10.00,9.00,7.84,,,,,
PL1,Plymouth,"264,199",7.59,378,9.25,11,1,78,0%,9.40,9,5.15,7.28,83.6%,5.47,0.75,4.71,3.95,5.91,92%,9.27,6.34," £	157,039.00 ",1948,70,6.37,0%,9.70,8.59,7.86,,,,,
HU1,"Kingston upon Hull, City of","260,240",,601,8.69,35,7,157,6%,1.00,11,3.77,2.38,84.0%,5.65,0.75,4.71,3.67,6.37,91%,9.03,6.44," £	107,888.00 ",1953,65,6.74,2%,8.28,7.76,6.32,,,,,
WV1,Wolverhampton,"256,621",7.28,201,9.70,6,3,46,1%,8.04,9,5.15,6.60,83.4%,5.39,0.75,4.71,5.18,3.92,79%,6.11,5.03," £	109,416.00 ",1953,65,6.76,1%,9.11,8.33,7.41,,,,,
DE1,Derby,"256,233",,443,9.09,9,8,72,2%,6.51,11,3.77,5.14,89.7%,8.29,0.75,4.71,4.02,5.80,91%,9.03,6.95," £	166,142.00 ",1941,77,5.79,1%,9.09,7.99,7.29,,,,,
SO15,Southampton,"254,275",7.25,760,8.29,22,11,124,0%,9.73,11,3.77,6.75,83.0%,5.22,0.75,4.71,5.47,3.45,81%,6.59,4.99," £	241,094.00 ",1944,74,6.00,8%,1.00,2.67,5.67,,,,,
ST1,Stoke-on-Trent,"253,226",,80,10.00,2,0,18,1%,9.03,9,5.15,7.09,78.6%,3.18,0.75,4.71,4.72,4.66,86%,7.81,5.09," £	96,507.00 ",1951,67,6.58,1%,9.01,8.20,7.60,,,,,
SA1,Swansea,"244,513",7.31,514,8.91,24,1,110,0%,9.61,7,6.54,8.08,73.8%,1.00,0.61,1.00,5.42,3.53,74%,4.89,2.61," £	131,408.00 ",1943,75,5.91,1%,8.86,7.88,6.87,,,,,
PO1,Portsmouth,"214,832",6.88,313,9.41,14,0,98,0%,9.68,13,2.38,6.03,83.0%,5.22,0.75,4.71,5.50,3.40,79%,6.11,4.86," £	256,018.00 ",1934,84,5.21,0%,9.50,8.07,7.09,,,,,
YO1,York,"208,367",7.89,485,8.98,20,2,67,4%,4.44,9,5.15,4.80,84.0%,5.65,0.75,4.71,4.00,5.83,93%,9.51,6.43," £	365,400.00 ",1928,90,4.80,2%,7.66,6.71,6.73,,,,,
PE1,Peterborough,"197,095",,2009,5.15,93,15,433,0%,9.55,13,2.38,5.97,79.6%,3.63,0.75,4.71,6.98,1.00,58%,1.00,2.58," £	155,950.00 ",1956,62,6.97,0%,9.61,8.73,5.61,,,,,
AB11,Aberdeen,"196,670",7.84,1161,7.28,,,,1%,9.23,5,7.92,8.57,93.5%,10.00,0.95,10.00,6.13,2.38,84%,7.32,7.43," £	158,605.00 ",1937,81,5.44,1%,8.67,7.59,7.72,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
