Name,Population,Total Crime,Crime Score,Burglary,Robbery,Violence and Sexual Offences,Flooding,Flooding-index,Average Annual Days of Thunder,Average Annual Days of Thunder - index,Weather Score,% of A&E Attendances With a Wait Less than 4 Hours,% of A&E Attendances With a Wait Less than 4 Hours - index,Doctors Per Person,Doctors Per Person - index,Median Ambulance Response Time (Raw Time),Median Ambulance Response Time (Fractional),Median Ambulance Response Time - index,% of Life-Threatening Ambulance Response Times under 8 Minutes,% of Life-Threatening Ambulance Response Times under 8 Minutes - index,Healthcare Score,Average House Price,Property Age,Average Property Age (Years),Average Property Age (Years) - index,Ground Movement,Ground Movement - index,Property Score,Safety Score,
Barking and Dagenham,194352,328,8.36,38,16,95,0%,10.00,15,10.00,10.00,74.1%,1.00,0.75,10.00,6:46,6.77,3.43,65%,4.60,3.01,293589,1958,60,7.72,1.00%,5.50,6.61,7.00,
Barnet,369088,314,8.56,59,9,57,0%,10.00,15,10.00,10.00,86.5%,5.31,0.75,10.00,5:29,5.48,7.84,69%,6.04,6.40,540768,1941,77,4.03,2.00%,1.00,2.51,6.87,
Bexley,236687,251,9.42,34,7,44,0%,10.00,15,10.00,10.00,86.5%,5.31,0.75,10.00,7:29,7.48,1.00,55%,1.00,2.44,340007,1949,69,5.71,1.00%,5.50,5.60,6.87,
Brent,317264,796,1.93,60,43,196,1%,5.50,15,10.00,5.50,100.0%,10.00,0.75,10.00,6:52,6.87,3.09,61%,3.16,5.42,498991,1939,79,3.81,1.00%,5.50,4.66,4.38,
Bromley,317899,496,6.06,33,26,113,0%,10.00,15,10.00,10.00,99.9%,9.97,0.75,10.00,6:16,6.27,5.14,68%,5.68,6.93,447283,1946,72,5.10,1.00%,5.50,5.30,7.07,
Camden,229719,378,7.68,24,22,80,1%,5.50,15,10.00,5.50,86.5%,5.31,0.75,10.00,5:20,5.33,8.36,78%,9.28,7.65,843836,1932,86,2.22,1.00%,5.50,3.86,6.17,
City of London,9401,837,1.37,27,19,135,2%,1.00,15,10.00,1.00,84.6%,4.65,0.75,10.00,4:51,4.85,10.00,80%,10.00,8.22,761277,1934,84,2.69,1.00%,5.50,4.10,3.67,
Croydon,372752,693,3.35,40,27,181,1%,5.50,15,10.00,5.50,87.1%,5.52,0.75,10.00,6:03,6.05,5.89,72%,7.12,6.18,373423,1950,68,5.93,1.00%,5.50,5.72,5.19,
Ealing,342494,651,3.93,26,18,132,0%,10.00,15,10.00,10.00,87.0%,5.48,0.75,10.00,5:24,5.40,8.12,75%,8.20,7.27,475704,1937,81,3.38,1.00%,5.50,4.44,6.41,
Enfield,320524,453,6.65,49,9,85,0%,10.00,15,10.00,10.00,100.0%,10.00,0.75,10.00,6:12,6.20,5.38,63%,3.88,6.42,395835,1940,78,3.99,1.00%,5.50,4.74,6.95,
Greenwich,264008,471,6.40,33,21,121,0%,10.00,15,10.00,10.00,85.6%,4.98,0.75,10.00,5:05,5.08,9.21,80%,10.00,8.07,387960,1955,63,7.13,1.00%,5.50,6.32,7.70,
Hackney,257379,420,7.10,41,13,96,1%,5.50,15,10.00,5.50,94.4%,8.05,0.75,10.00,5:57,5.95,6.24,70%,6.40,6.90,566037,1941,77,4.03,1.00%,5.50,4.77,6.07,
Hammersmith and Fulham,178685,796,1.93,83,19,106,1%,5.50,15,10.00,5.50,98.8%,9.58,0.75,10.00,5:48,5.80,6.75,71%,6.76,7.70,750355,1926,92,1.00,1.00%,5.50,3.25,4.60,
Haringey,263386,576,4.96,79,29,113,0%,10.00,15,10.00,10.00,86.1%,5.17,0.75,10.00,5:31,5.52,7.71,74%,7.84,6.91,551551,1928,90,1.47,2.00%,1.00,1.24,5.77,
Harrow,243372,383,7.61,35,6,106,1%,5.50,15,10.00,5.50,100.0%,10.00,0.75,10.00,5:00,5.00,9.49,79%,9.64,9.71,472759,1943,75,4.55,1.00%,5.50,5.02,6.96,
Havering,242080,577,4.94,41,14,127,1%,5.50,15,10.00,5.50,74.1%,1.00,0.75,10.00,4:57,4.95,9.66,80%,10.00,6.89,367858,1949,69,5.80,1.00%,5.50,5.65,5.74,
Hillingdon,286806,318,8.50,35,7,80,1%,5.50,15,10.00,5.50,79.5%,2.88,0.75,10.00,5:06,5.10,9.14,74%,7.84,6.62,413504,1953,65,6.55,1.00%,5.50,6.02,6.66,
Hounslow,262407,414,7.18,41,9,95,1%,5.50,15,10.00,5.50,99.9%,9.97,0.75,10.00,5:18,5.30,8.46,78%,9.28,9.24,404218,1943,75,4.56,1.00%,5.50,5.03,6.74,
Islington,215667,761,2.42,52,23,122,1%,5.50,15,10.00,5.50,86.1%,5.17,0.75,10.00,6:25,6.42,4.63,67%,5.32,5.04,638820,1933,85,2.41,2.00%,1.00,1.71,3.67,
Kensington and Chelsea,155594,654,3.89,63,11,108,1%,5.50,15,10.00,5.50,94.4%,8.05,0.75,10.00,5:36,5.60,7.43,71%,6.76,7.42,1338592,1930,88,1.75,1.00%,5.50,3.63,5.11,
Kingston upon Thames,166793,450,6.69,16,7,99,1%,5.50,15,10.00,5.50,84.8%,4.72,0.75,10.00,5:51,5.85,6.58,70%,6.40,5.90,487517,1939,79,3.70,1.00%,5.50,4.60,5.67,
Lambeth,314242,801,1.87,44,27,176,1%,5.50,15,10.00,5.50,87.4%,5.62,0.75,10.00,5:06,5.10,9.14,80%,10.00,8.26,514751,1938,80,3.53,1.00%,5.50,4.51,5.03,
Lewisham,286180,476,6.33,24,16,118,0%,10.00,15,10.00,10.00,85.6%,4.98,0.75,10.00,5:18,5.30,8.46,75%,8.20,7.21,412904,1942,76,4.40,1.00%,5.50,4.95,7.12,
Merton,203223,214,9.93,23,3,35,1%,5.50,15,10.00,5.50,87.3%,5.59,0.75,10.00,6:05,5.08,9.21,73%,7.48,7.43,522709,1940,78,3.86,1.00%,5.50,4.68,6.88,
Newham,318227,384,7.60,25,30,90,0%,10.00,15,10.00,10.00,84.6%,4.65,0.75,10.00,5:04,5.07,9.25,77%,8.92,7.61,356945,1941,77,4.10,1.00%,5.50,4.80,7.50,
Redbridge,288272,209,10.00,30,1,48,0%,10.00,15,10.00,10.00,74.1%,1.00,0.75,10.00,5:36,5.60,7.43,72%,7.12,5.18,422918,1939,79,3.65,1.00%,5.50,4.57,7.44,
Richmond upon Thames,191365,247,9.48,23,2,74,1%,5.50,15,10.00,5.50,99.9%,9.97,0.75,10.00,5:18,5.30,8.46,78%,9.28,9.24,654516,1937,81,3.23,1.00%,5.50,4.37,7.15,
Southwark,298464,755,2.50,47,39,113,1%,5.50,15,10.00,5.50,87.4%,5.62,0.75,10.00,5:06,5.10,9.14,80%,10.00,8.26,491911,1944,74,4.81,1.00%,5.50,5.16,5.35,
Sutton,195914,239,9.59,19,9,64,0%,10.00,15,10.00,10.00,87.3%,5.59,0.75,10.00,6:04,6.07,5.83,71%,6.76,6.06,380297,1944,74,4.72,1.00%,5.50,5.11,7.69,
Tower Hamlets,272890,253,9.40,20,11,55,0%,10.00,15,10.00,10.00,100.0%,10.00,0.75,10.00,5:19,5.32,8.39,77%,8.92,9.10,465336,1969,49,10.00,0.00%,10.00,10.00,9.62,
Waltham Forest,265797,708,3.14,60,37,161,0%,10.00,15,10.00,10.00,99.3%,9.76,0.75,10.00,6:20,6.33,4.94,68%,5.68,6.79,441588,1931,87,2.10,1.00%,5.50,3.80,5.93,
Wandsworth,310516,404,7.32,42,9,60,0%,10.00,15,10.00,10.00,83.5%,4.27,0.75,10.00,5:08,5.13,9.04,77%,8.92,7.41,598549,1934,84,2.75,1.00%,5.50,4.12,7.21,
Westminster,226841,864,1.00,18,13,151,1%,5.50,15,10.00,5.50,94.4%,8.05,0.75,10.00,5:06,5.10,9.14,80%,10.00,9.07,1038626,1930,88,1.80,1.00%,5.50,3.65,4.80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,